,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CDKN2D,3.12382243938088e-42,-0.323991794090516,0.411,0.464,1.07615683036671e-37
ATRX,3.41216562363473e-42,-0.312459649425743,0.455,0.507,1.17549105734217e-37
ANAPC11,8.38558387726303e-42,0.265613131921895,0.392,0.323,2.88883364571711e-37
SRSF4,1.32083086097075e-41,-0.398650219966615,0.307,0.363,4.55026231604425e-37
PHB,1.44152057805861e-41,0.33948893198432,0.311,0.247,4.96603839141192e-37
ZNHIT1,2.69739017098038e-41,0.284548757476017,0.377,0.311,9.29250913902742e-37
PRR5,3.41291394550883e-41,-0.473596857909391,0.216,0.268,1.17574885422779e-36
CD46,4.61427797901908e-41,-0.397984028086958,0.246,0.3,1.58961876377207e-36
ADAR,5.17257179785431e-41,0.390863451857257,0.341,0.283,1.78195098436081e-36
PLEKHA1,2.45220882786403e-40,-0.380736841536662,0.278,0.332,8.44785941199157e-36
RBM17,3.52622485671425e-40,0.360794300653496,0.268,0.212,1.21478446313806e-35
IRF3,3.65466420401731e-40,0.378794871294271,0.29,0.23,1.25903181828396e-35
C1D,4.40023417076708e-40,-0.393997723062119,0.232,0.283,1.51588067182926e-35
HEXA,1.54049871113948e-39,0.34261472997128,0.264,0.208,5.3070180598755e-35
TMED10,1.88401534407868e-39,0.306508493608959,0.361,0.302,6.49043286035106e-35
HSD17B10,2.21594451111097e-39,0.335540666434295,0.261,0.201,7.6339288407773e-35
VCP,2.29236608075506e-39,-0.368896447420278,0.289,0.343,7.89720114820117e-35
PSIP1,2.93809583627429e-39,0.280963130312405,0.333,0.274,1.01217401559649e-34
STUB1,3.07241970117914e-39,-0.354855731969037,0.291,0.346,1.05844858705622e-34
VPS29,3.51960733786187e-39,-0.338409837035743,0.306,0.361,1.21250472789341e-34
AMD1,7.88246791824873e-39,0.350229434601408,0.307,0.25,2.71551019783669e-34
ARL6IP1,1.65366717306919e-38,0.252176561562979,0.479,0.412,5.69688341122335e-34
SLC3A2,2.69618187214198e-38,0.330522466567918,0.269,0.211,9.28834654952912e-34
RAB18,2.85287757280289e-38,-0.4545688296709,0.223,0.272,9.82816323830594e-34
GPBP1,3.09531566734758e-38,-0.320961588217044,0.432,0.477,1.06633624740124e-33
CARD8,3.34810536113391e-38,-0.358651137323442,0.26,0.315,1.15342229691063e-33
GPR65,3.80515530418937e-38,0.327135311139732,0.385,0.326,1.31087600229324e-33
GTF2I,4.03666198722978e-38,-0.431015510176613,0.243,0.295,1.39063005460066e-33
LSM4,7.14050054381556e-38,0.276317312284496,0.328,0.268,2.45990243734446e-33
PSMA5,7.80049726731551e-38,-0.298722471728327,0.418,0.466,2.68727130859019e-33
INTS6,8.68297332158534e-38,-0.437783652415694,0.203,0.253,2.99128430928615e-33
RAB5IF,1.43309868468103e-37,0.291445008941979,0.434,0.375,4.93702496872614e-33
CHMP4A,2.2068466559786e-37,0.262693156419281,0.415,0.352,7.60258672984628e-33
HSD17B11,2.49327622084418e-37,0.309251163220778,0.298,0.242,8.58933658080821e-33
GADD45GIP1,2.97993131150594e-37,0.29931560693888,0.338,0.275,1.02658633681379e-32
MANF,6.02793901646639e-37,0.324161471170206,0.319,0.259,2.07662499117267e-32
KLRG1,2.14972564331855e-36,-0.28624017885569,0.312,0.371,7.40580484123241e-32
MRPS18C,2.34886037638085e-36,-0.421699613042385,0.213,0.26,8.09182399663202e-32
SCAF11,3.39901895935501e-36,-0.27620920704446,0.44,0.492,1.1709620314978e-31
HAX1,5.22146338246421e-36,0.287685222569892,0.273,0.214,1.79879413525892e-31
C6orf62,1.03878721614721e-35,0.286428347444019,0.299,0.244,3.57862195962715e-31
FNBP4,1.22496054750419e-35,-0.39566671183719,0.281,0.333,4.21998908615195e-31
SRP72,1.26148921144062e-35,0.332048490788351,0.274,0.221,4.34583033341292e-31
BAZ1A,1.53250526903932e-35,-0.358065899742787,0.31,0.361,5.27948065184045e-31
MPHOSPH8,2.08017499802324e-35,0.258622833229259,0.47,0.414,7.16620286819005e-31
PDCD5,3.49327185077743e-35,-0.418899125699035,0.234,0.282,1.20343215259282e-30
KMT2E,4.00191606362613e-35,-0.308617250374954,0.554,0.575,1.3786600839192e-30
