,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EVI2A,7.03973225457986e-158,0.372844944967901,0.323,0.22,2.42518776170276e-153
SSR1,7.40754877523099e-158,0.345691803491032,0.318,0.214,2.55190055306708e-153
BSDC1,8.23610879015457e-158,-0.806676211063236,0.188,0.265,2.83733947820825e-153
IDH2,8.92666701736321e-158,0.504808034299832,0.286,0.191,3.07523678748163e-153
NEAT1,1.21533652188022e-157,-0.352776821708993,0.678,0.733,4.18683431787735e-153
HNRNPH3,1.57295865502449e-157,-0.564284564992397,0.457,0.518,5.41884256655938e-153
SRI,1.71037502008486e-157,0.315937780582452,0.422,0.308,5.89224194419234e-153
POLR3GL,2.50704639472924e-157,0.353908245083971,0.407,0.297,8.63677482984224e-153
LAMTOR2,4.03622962794353e-157,0.498881878088209,0.292,0.197,1.39048110682655e-152
HCLS1,5.07814170508166e-157,0.26148990996788,0.58,0.461,1.74941981740063e-152
RCSD1,8.19234027754864e-157,-0.639488435419386,0.423,0.483,2.82226122561551e-152
GON4L,4.8896620434505e-156,-0.841370424709098,0.243,0.316,1.6844885739687e-151
RASSF5,9.27519770734098e-156,0.366738255586204,0.359,0.254,3.19530561017897e-151
GNB2,1.30897589282112e-155,0.392299637842293,0.326,0.225,4.50942195076876e-151
CAND1,3.16862334282425e-155,-0.844396782630266,0.211,0.286,1.09159074160295e-150
ZEB2,3.94712986245948e-155,-1.68229120810089,0.217,0.278,1.35978623761729e-150
LSM8,2.14659912772295e-154,0.311893966151705,0.465,0.349,7.39503399500558e-150
TXN,2.75836245010074e-154,0.338816306448235,0.469,0.358,9.50255864059707e-150
MYDGF,5.78528728309345e-154,0.44494231842241,0.306,0.209,1.99303146902569e-149
JAK3,7.62210952002617e-154,-0.826855957520224,0.202,0.277,2.62581672964902e-149
POLE4,1.28831556368041e-153,0.475239864811367,0.31,0.215,4.438247116879e-149
SHPRH,1.31069482653824e-152,-0.977800309652072,0.185,0.255,4.51534367742424e-148
CTCF,2.04659062747581e-152,-0.876117837819245,0.223,0.296,7.05050471165417e-148
CORO1B,4.44045401954127e-152,0.474587155531237,0.342,0.244,1.52973640973197e-147
CSNK1A1,5.36694902232761e-152,-0.595413160911999,0.458,0.509,1.84891393819186e-147
SIVA1,8.57662746387987e-152,0.342679353171196,0.406,0.298,2.95464816130661e-147
SRPRA,1.53131582517342e-151,0.438152403211446,0.28,0.186,5.27538301772244e-147
NSMCE3,1.9320858300705e-151,-0.727456046358305,0.226,0.301,6.65603568459287e-147
GTF2I,4.73663914925987e-151,-0.773313109679719,0.278,0.35,1.63177218692002e-146
PRMT1,1.08437600908238e-150,0.418366491836686,0.326,0.227,3.7356753512888e-146
PRPF40A,5.39204345565235e-149,-0.623985865452759,0.35,0.423,1.85755897047223e-144
RNASEH2C,2.11606901188101e-148,0.457877903169643,0.295,0.201,7.28985774593006e-144
CGGBP1,6.49400754051248e-148,-0.762084295130003,0.291,0.362,2.23718559770655e-143
SNRPD3,1.06841306828129e-147,0.301755126279815,0.409,0.3,3.68068302022906e-143
ATRAID,2.35849426292102e-147,0.350377943732093,0.398,0.292,8.12501273576292e-143
CD47,3.2161889014876e-147,-0.487330966216766,0.545,0.593,1.10797707656248e-142
KLF6,3.73453859268458e-147,-0.37282807357607,0.692,0.708,1.28654854517984e-142
NOP10,1.8725648148931e-146,0.299704231023528,0.457,0.346,6.45098578730674e-142
MRPL54,2.69015486913363e-146,0.408173558555502,0.371,0.271,9.26758352416534e-142
