,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ARHGEF1,3.70562454104931e-133,0.381867777894942,0.547,0.457,1.27658765439149e-128
PIM2,3.25946985702543e-132,0.655740129874617,0.268,0.185,1.12288736574526e-127
NDUFA13,6.25212704249867e-132,0.283065480212821,0.701,0.624,2.15385776614079e-127
MGMT,6.69948828326012e-132,-0.741003661560332,0.245,0.316,2.30797371358311e-127
CGGBP1,1.21341320099642e-131,-0.501861076169914,0.291,0.374,4.18020847743267e-127
PNRC2,6.53672771037634e-131,0.450272003661974,0.42,0.329,2.25190269622465e-126
FERMT3,7.49515513922253e-131,0.524024313902413,0.343,0.254,2.58208094546216e-126
CSNK1A1,1.61827244261505e-130,-0.446896767065034,0.458,0.529,5.57494856480883e-126
MT1X,9.63930904435993e-130,0.537405399265538,0.284,0.196,3.320741965782e-125
ANAPC11,2.34184204335289e-129,0.467113184246013,0.372,0.28,8.06764583935069e-125
COPZ1,2.71885002590476e-129,0.56337380417995,0.279,0.193,9.36643833924188e-125
NPC2,4.61542896314732e-129,0.595175545099607,0.306,0.222,1.59001527780425e-124
REX1BD,1.90341702185276e-128,0.400645163813096,0.489,0.398,6.55727164028275e-124
TAX1BP1,3.38683143995303e-128,-0.388689179017168,0.507,0.577,1.16676343106382e-123
DCXR,4.13548137339574e-127,0.57182695692132,0.287,0.202,1.42467333313483e-122
SYNCRIP,4.85301953425944e-127,-0.556954148497038,0.28,0.358,1.67186522955238e-122
NUFIP2,1.99207491270439e-126,-0.602369617808366,0.24,0.317,6.86269807426664e-122
C1orf162,2.20486750205692e-126,0.602142359867843,0.341,0.26,7.59576854458611e-122
SFSWAP,2.30183128947575e-126,-0.61406153862771,0.208,0.283,7.92980879224397e-122
TPST2,3.19899020839679e-126,0.597816176222084,0.282,0.2,1.1020521267927e-121
FAAP20,8.32607904875411e-126,0.567205833541272,0.296,0.212,2.86833423229579e-121
SRSF8,1.34272047271389e-125,0.51138021170568,0.327,0.239,4.62567202849937e-121
RASGRP2,1.87274421068422e-125,0.45531220705523,0.402,0.312,6.45160380580713e-121
ATP5IF1,3.41236832350421e-125,0.280721914266883,0.673,0.598,1.1755608874472e-120
VAMP5,4.6166287082438e-125,0.497044110334907,0.371,0.283,1.59042858998999e-120
ATRX,1.13710242304757e-124,-0.359776959147626,0.547,0.618,3.91731784739886e-120
SCP2,1.67966538188134e-124,0.380058635470747,0.456,0.358,5.78644724058123e-120
ARL6IP1,2.93330424169884e-124,0.415376640099055,0.471,0.382,1.01052331126525e-119
RCSD1,5.57858648775298e-124,-0.451477124245613,0.423,0.499,1.9218230450309e-119
POLR2F,9.0809364693397e-124,0.50912388964695,0.327,0.24,3.12838261368753e-119
LBH,3.3501621591948e-123,0.337698486884015,0.585,0.507,1.15413086384261e-118
MDH2,2.01527547185549e-122,0.425075887380228,0.428,0.34,6.94262400054218e-118
TERF2IP,3.19784067984283e-122,-0.356179644950902,0.522,0.592,1.10165611420586e-117
VPS36,3.63854056589952e-122,-0.566214428647505,0.235,0.311,1.25347722495239e-117
FYB1,2.04816019061452e-121,-0.286302485936827,0.831,0.858,7.05591185666702e-117
PSMB3,4.71273564562606e-121,0.348054546742423,0.508,0.417,1.62353742991818e-116
MRPL52,1.91694670452075e-120,0.485831208964818,0.326,0.238,6.60388139707399e-116
MRPL57,5.27574454211416e-120,0.404365303567832,0.414,0.322,1.81749399475833e-115
HSD17B10,7.37037518476041e-120,0.590059093822126,0.253,0.174,2.53909425114996e-115
RRP1B,5.77074718206966e-119,-0.641767420416895,0.192,0.262,1.988022404223e-114
TTC1,9.17806049024132e-119,-0.499463503763004,0.269,0.346,3.16184183888814e-114
ZNF394,9.85338336425846e-119,-0.583035548373913,0.225,0.3,3.39449056898704e-114
TSTD1,3.49704692109389e-118,0.363317139455639,0.532,0.449,1.20473266431684e-113
PGK1,1.32785034788964e-117,0.301746262898078,0.615,0.534,4.57444444847982e-113
RHEB,2.22464063849678e-117,-0.588801643797957,0.226,0.298,7.6638869996214e-113
VAPA,3.94537055358718e-117,-0.385108040190308,0.497,0.558,1.35918015571078e-112
IDS,2.56089259606556e-116,0.424663805703204,0.408,0.32,8.82227499344585e-112
CFAP97,3.35210434664264e-116,0.543479153917193,0.3,0.217,1.15479994741839e-111
SET,3.7342786332975e-116,0.346237616527182,0.66,0.623,1.28645898917099e-111
TMEM9B,9.47692914781667e-116,0.57747481761953,0.258,0.179,3.26480209142284e-111
HAX1,1.8380661371919e-114,0.414081279255171,0.393,0.302,6.33213784262609e-110
CAST,2.50406769242841e-114,-0.323269701889152,0.561,0.635,8.62651320041589e-110
HPCAL1,2.52443714433247e-114,-0.581589383734963,0.232,0.302,8.69668596222537e-110
APOBEC3G,4.61401059436594e-114,0.490884647961062,0.353,0.269,1.58952664975907e-109
CCDC85B,2.21002108473531e-113,0.327877314247798,0.543,0.457,7.61352263691313e-109
CCDC59,3.31804652705508e-113,-0.412454333557129,0.36,0.44,1.14306702857047e-108
USP16,4.74634335634108e-113,-0.430030972450097,0.344,0.423,1.6351152862595e-108
MRPL41,6.54762868648999e-113,0.425260869819718,0.376,0.289,2.2556580824958e-108
GADD45GIP1,1.02723082586227e-112,0.418891214358435,0.418,0.332,3.53881019509553e-108
SDHC,1.04747018261828e-112,0.442200571487592,0.299,0.215,3.60853477911999e-108
KLRB1,1.21998387980276e-112,0.715050650164291,0.369,0.29,4.20284446592051e-108
CCNC,4.19484823266983e-112,-0.641745187110024,0.193,0.261,1.44512521615476e-107
GHITM,1.24529216536412e-111,0.364792269433353,0.509,0.428,4.29003150967938e-107
SNHG9,1.29318426165777e-111,0.605481132640087,0.273,0.198,4.45501978141103e-107
MYO1F,2.34024672290583e-111,0.301078905503889,0.419,0.323,8.0621499604106e-107
RTN4,5.46723794034959e-111,-0.479830385810947,0.411,0.475,1.88346347045043e-106
SAP30BP,6.44888216217491e-111,-0.54568884804902,0.195,0.268,2.22163990486926e-106
UBE2E3,7.98439345154506e-111,-0.648912775435474,0.206,0.275,2.75062354405727e-106
SSNA1,1.2575317002398e-110,0.435313736835822,0.369,0.285,4.33219670732611e-106
MFSD10,1.33198167803977e-110,0.513300960712036,0.285,0.205,4.58867688084701e-106
ATP6V0E2,1.61615044428725e-110,0.534578873989373,0.274,0.194,5.56763828056957e-106
PDAP1,1.82224335445409e-110,0.46125763239963,0.365,0.282,6.27762835609434e-106
LIMS1,3.97557063505971e-110,-0.543676989864449,0.26,0.333,1.36958408377807e-105
DAD1,5.76826213414614e-110,0.262155926904727,0.656,0.582,1.98716630521334e-105
RNF114,6.55977540115426e-110,-0.550711741485408,0.204,0.275,2.25984262569764e-105
AHSA1,1.8801841327048e-109,0.500234827242626,0.272,0.19,6.47723433716805e-105
IMP3,3.3820294609924e-109,0.37194890026256,0.378,0.286,1.16510914931188e-104
MRFAP1,6.68289523894774e-109,0.361022690699142,0.405,0.312,2.3022574098175e-104
CCDC12,8.25130076549108e-109,0.4031039532118,0.38,0.29,2.84257311371168e-104
SIT1,3.06138376218118e-108,0.436042336409812,0.3,0.217,1.05464670607141e-103
SHPRH,6.98748777798872e-108,-0.677803222636882,0.185,0.25,2.40718953951711e-103
CTCF,1.24914445652675e-107,-0.599213988118317,0.223,0.292,4.30330265273465e-103
RBM8A,2.5482810510237e-107,0.366807931625987,0.486,0.402,8.77882822077663e-103
TMC6,2.88708652612508e-107,0.449036972149641,0.366,0.285,9.94601308250089e-103
EIF1AX,9.99067183482188e-106,-0.347565401760275,0.468,0.54,3.44178644709614e-101
TBCB,2.79525140867383e-105,0.413376178887051,0.399,0.316,9.62964110288133e-101
LAPTM4A,6.37836713462257e-105,0.471935251085698,0.311,0.231,2.19734747787747e-100
ITGAL,6.88195279892786e-105,-0.536939430290701,0.318,0.391,2.37083273923065e-100
SDF2L1,6.49362893435567e-104,0.580838420650981,0.262,0.187,2.23705516788553e-99
YTHDC1,8.69812610458178e-104,-0.455656070611407,0.379,0.447,2.99650444302842e-99
SELL,1.17789116971104e-103,0.50034367136748,0.505,0.454,4.05783507965452e-99
SNRPE,1.22756773406793e-103,0.335432705387873,0.512,0.43,4.22897084386401e-99
PHPT1,2.06168146504727e-103,0.550101609433137,0.27,0.195,7.10249264708784e-99
SUN2,3.73877431438885e-103,0.349084153181969,0.546,0.469,1.28800775130696e-98
PGLS,5.32158844548859e-103,0.447252198749189,0.349,0.267,1.83328721947082e-98
SCAF11,9.55508322058694e-103,-0.33036907658741,0.531,0.595,3.2917261694922e-98
KDELR2,6.68999373124159e-102,0.531496653301625,0.252,0.178,2.30470284041273e-97
NDUFS4,8.5418227760691e-102,-0.559599932667505,0.239,0.306,2.9426579463558e-97
TXN2,1.40004187500742e-101,0.493414353616428,0.289,0.212,4.82314425940056e-97
POLR3GL,1.86015097727501e-101,0.399448675268467,0.407,0.327,6.4082201167124e-97
TAPBP,2.82845726362793e-101,0.332294671479285,0.585,0.512,9.74403527319821e-97
IER2,3.32516961175551e-101,0.443523151058432,0.719,0.648,1.14552093124977e-96
GGNBP2,5.4829766540098e-101,-0.450291083263062,0.406,0.468,1.88888545730638e-96
TKT,1.07604607745708e-100,0.447412975657373,0.363,0.285,3.70697873683964e-96
LAMTOR5,1.77204217425371e-100,0.371314701946169,0.431,0.345,6.10468529030402e-96
AATF,7.43154813886616e-100,-0.589047832791445,0.23,0.296,2.56016833383939e-95
ORMDL1,7.87059279526222e-100,-0.299945367475959,0.486,0.559,2.71141921796783e-95
NAA38,9.58850102525059e-100,0.370867040567442,0.387,0.303,3.30323860319883e-95
CNPY3,9.65477737228026e-100,0.508067207309447,0.288,0.213,3.32607080475055e-95
COX14,1.86797879910121e-99,0.367030338268563,0.432,0.35,6.43518696290368e-95
KLHDC2,3.01890639629335e-99,-0.502028905925735,0.228,0.297,1.04001325352306e-94
CRBN,1.22083740773619e-98,-0.355605835499931,0.421,0.49,4.20578486965117e-94
CASP1,3.96340970892964e-98,0.472493271043797,0.286,0.211,1.36539464472626e-93
