,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DOA,2.15852255395942e-20,0.563001217020564,0.253,0.177,7.43611019839019e-16
SINHCAF,2.28994847442979e-20,-0.595116024088728,0.19,0.255,7.88887249441061e-16
FCGR2B,2.54903287744289e-20,0.435597648491587,0.34,0.252,8.78141826279074e-16
UBE2N,2.74438013204574e-20,-0.467674550553766,0.3,0.366,9.45438955489759e-16
SRP72,2.97829745229378e-20,0.45207134604487,0.318,0.234,1.02602347231521e-15
MAX,3.6396276745662e-20,-0.49094671942215,0.255,0.325,1.25385173388806e-15
BTG2,4.38347781256517e-20,0.414604215301448,0.42,0.337,1.5101081064287e-15
CCNDBP1,4.41020488016847e-20,0.441588697394561,0.363,0.275,1.51931558121804e-15
FCRL3,5.29183092426507e-20,-0.695166842088298,0.198,0.262,1.82303575340932e-15
KRR1,5.84698791002348e-20,-0.493655384108308,0.223,0.291,2.01428733500309e-15
PRPF40A,6.29142061576571e-20,-0.500964370887551,0.278,0.346,2.16739440213129e-15
COX5A,6.76206090871602e-20,0.424931353425525,0.333,0.246,2.32952998305267e-15
SFPQ,6.92990587216512e-20,-0.446175880855632,0.355,0.414,2.38735257296088e-15
BCAS2,8.58617628639696e-20,-0.532690216928573,0.202,0.269,2.95793773066375e-15
HAX1,1.07686238491446e-19,0.45081166968742,0.272,0.192,3.70979091603032e-15
HADHA,1.18904448833123e-19,0.444378561794385,0.311,0.229,4.0962582623011e-15
SMDT1,1.97503564990131e-19,0.256974608547021,0.689,0.626,6.80399781391002e-15
POLR2G,2.39838667240177e-19,0.516609204280357,0.27,0.194,8.26244208642409e-15
TMBIM6,2.53877537277136e-19,0.278608209409726,0.6,0.51,8.74608115919733e-15
FUS,2.77423457116433e-19,0.291179313616761,0.645,0.557,9.55723809766111e-15
PSMD4,2.82026093707828e-19,0.374385749814742,0.343,0.256,9.71579892823468e-15
SVIP,3.6657495512727e-19,0.538608835707383,0.26,0.187,1.26285072041345e-14
THUMPD3-AS1,3.82430446616585e-19,-0.434442301154867,0.282,0.35,1.31747288859414e-14
SNAP23,4.82205653063012e-19,0.401070507024705,0.318,0.236,1.66119847480208e-14
ATP6AP2,6.44668695957039e-19,0.435760431210288,0.29,0.209,2.220883657572e-14
BAZ1A,7.37918362232568e-19,-0.423222546264337,0.307,0.377,2.5421287578912e-14
SMARCA5,8.20235850227648e-19,-0.466745048211178,0.231,0.297,2.82571250403425e-14
RCN2,1.06387455719161e-18,-0.491157116850783,0.267,0.33,3.66504784952511e-14
FAAP20,1.08703573489159e-18,0.445127468657356,0.286,0.209,3.74483810670151e-14
LSM4,1.38741519823938e-18,0.472732812422157,0.288,0.21,4.77964535793468e-14
C4orf3,1.38778283160551e-18,0.269206983075182,0.561,0.467,4.78091185488097e-14
PSMC5,1.44437485310226e-18,0.470256859799315,0.292,0.215,4.97587136893727e-14
AKIRIN2,2.00636562585557e-18,-0.494484386790784,0.207,0.273,6.91192958107245e-14
TMEM160,2.08295656143461e-18,0.485404902582426,0.268,0.193,7.17578535414224e-14
LYZ,2.52874962085061e-18,0.587445627914998,0.264,0.188,8.71154244383035e-14
POLR3GL,2.68292186241498e-18,0.475983101354579,0.279,0.205,9.24266581601961e-14
ATP5PD,3.21708313600225e-18,0.396177437085224,0.351,0.267,1.10828514035277e-13
SUPT4H1,3.33487440339189e-18,0.501060465918329,0.25,0.178,1.14886423196851e-13
EPB41L4A-AS1,3.63363773960008e-18,0.391611114039283,0.376,0.292,1.25178820129223e-13
PRDX6,4.72766233334431e-18,0.431282075762677,0.343,0.26,1.62867967383711e-13
MZB1,4.98366882752029e-18,0.548147756791672,0.252,0.18,1.71687391108074e-13
RABEP2,7.20905279344058e-18,-0.583522297652099,0.188,0.252,2.48351868734028e-13
MORF4L1,8.13102394998656e-18,-0.323896069891745,0.515,0.561,2.80113775077037e-13
LITAF,8.80310578569211e-18,0.372889447443806,0.333,0.253,3.03266994317093e-13
PNRC2,8.85595952123415e-18,0.366387826318215,0.368,0.288,3.05087805506517e-13
GUCD1,9.73787238381416e-18,0.423086059332878,0.298,0.223,3.35469703622398e-13
PLPP5,1.1165559249565e-17,0.284647193343478,0.642,0.576,3.84653516147515e-13
HNRNPC,1.3144929841016e-17,-0.265775095579023,0.691,0.713,4.52842833023001e-13
DRAP1,1.45969866294912e-17,0.347299782056906,0.444,0.356,5.02866189385973e-13
SNHG7,1.48489243404195e-17,-0.331832658326827,0.518,0.575,5.11545443527452e-13
NSA2,1.86496617037569e-17,0.292703862639584,0.593,0.525,6.42480845694425e-13
GAPT,2.5803698634008e-17,-0.316909477553623,0.445,0.509,8.88937417941574e-13
EIF6,2.70260428317021e-17,0.435867617503853,0.263,0.189,9.31047175552136e-13
CASP4,2.79990235325415e-17,0.371563072118125,0.383,0.302,9.64566360696055e-13
NT5C3A,3.19945693738868e-17,-0.40155402133028,0.386,0.444,1.1022129149304e-12
RABAC1,3.32093903973798e-17,0.359320417702752,0.465,0.385,1.14406349918973e-12
IK,3.53620244007159e-17,0.386572899907528,0.349,0.269,1.21822174060466e-12
RSRC2,4.10268250531047e-17,-0.367768409658318,0.354,0.416,1.41337412307946e-12
CD44,4.11431358175867e-17,-0.560192734505753,0.457,0.495,1.41738102891586e-12
TMED9,4.18111424148965e-17,0.457218745206946,0.255,0.183,1.44039385619319e-12
TCEA1,8.02995625828084e-17,0.26364414827917,0.509,0.421,2.76631993097775e-12
PGK1,8.04126535098096e-17,0.289050974156988,0.449,0.358,2.77021591341294e-12
ARL5A,8.55942817124843e-17,-0.50201455217648,0.206,0.268,2.94872300499508e-12
PLEKHF2,1.28372780840003e-16,-0.346911464257679,0.399,0.458,4.42244229993811e-12
SCAF11,1.52778891142537e-16,-0.274011680071752,0.511,0.565,5.26323279986041e-12
